America's Car-Mart Quarterly Net Income (Millions of US $),America's Car-Mart Quarterly Net Income (Millions of US $).1
2025-01-31,$3
2024-10-31,$5
2024-07-31,$-1
2024-04-30,$0
2024-01-31,$-9
2023-10-31,$-27
2023-07-31,$4
2023-04-30,$2
2023-01-31,$1
2022-10-31,$3
2022-07-31,$14
2022-04-30,$27
2022-01-31,$19
2021-10-31,$23
2021-07-31,$25
2021-04-30,$44
2021-01-31,$20
2020-10-31,$21
2020-07-31,$20
2020-04-30,$9
2020-01-31,$13
2019-10-31,$14
2019-07-31,$16
2019-04-30,$15
2019-01-31,$11
2018-10-31,$11
2018-07-31,$11
2018-04-30,$10
2018-01-31,$13
2017-10-31,$6
2017-07-31,$7
2017-04-30,$5
2017-01-31,$3
2016-10-31,$5
2016-07-31,$7
2016-04-30,$3
2016-01-31,$4
2015-10-31,$-0
2015-07-31,$5
2015-04-30,$7
2015-01-31,$7
2014-10-31,$8
2014-07-31,$7
2014-04-30,$6
2014-01-31,$1
2013-10-31,$6
2013-07-31,$8
2013-04-30,$9
2013-01-31,$8
2012-10-31,$7
2012-07-31,$8
2012-04-30,$10
2012-01-31,$7
2011-10-31,$8
2011-07-31,$8
2011-04-30,$8
2011-01-31,$6
2010-10-31,$6
2010-07-31,$8
2010-04-30,$7
2010-01-31,$6
2009-10-31,$6
2009-07-31,$7
2009-04-30,$5
2009-01-31,$4
