Trilogy Metals Quarterly Net Income (Millions of US $),Trilogy Metals Quarterly Net Income (Millions of US $).1
2024-11-30,$-2
2024-08-31,$-2
2024-05-31,$-2
2024-02-29,$-4
2023-11-30,$-3
2023-08-31,$-4
2023-05-31,$-3
2023-02-28,$-5
2022-11-30,$-5
2022-08-31,$-10
2022-05-31,$-4
2022-02-28,$-5
2021-11-30,$-6
2021-08-31,$-8
2021-05-31,$-3
2021-02-28,$-5
2020-11-30,$-3
2020-08-31,$-3
2020-05-31,$-3
2020-02-29,$171
2019-11-30,$-7
2019-08-31,$-13
2019-05-31,$-5
2019-02-28,$-4
2018-11-30,$-5
2018-08-31,$-10
2018-05-31,$-4
2018-02-28,$-3
2017-11-30,$-7
2017-08-31,$-9
2017-05-31,$-2
2017-02-28,$-3
2016-11-30,$3
2016-08-31,$-4
2016-05-31,$-2
2016-02-29,$-2
2015-11-30,$-2
2015-08-31,$-4
2015-05-31,$-2
2015-02-28,$-2
2014-11-30,$-2
2014-08-31,$-3
2014-05-31,$-2
2014-02-28,$-3
2013-11-30,$-5
2013-08-31,$-7
2013-05-31,$-6
2013-02-28,$-7
2012-11-30,$-8
2012-08-31,$-13
2012-05-31,$-10
2012-02-29,$-1
2011-11-30,$-2
2011-08-31,$-6
2011-05-31,$-3
2011-02-28,$-1
2010-11-30,
