Flushing Financial Quarterly Net Income (Millions of US $),Flushing Financial Quarterly Net Income (Millions of US $).1
2024-12-31,$-49
2024-09-30,$9
2024-06-30,$5
2024-03-31,$4
2023-12-31,$8
2023-09-30,$8
2023-06-30,$9
2023-03-31,$4
2022-12-31,$10
2022-09-30,$23
2022-06-30,$25
2022-03-31,$18
2021-12-31,$18
2021-09-30,$25
2021-06-30,$19
2021-03-31,$19
2020-12-31,$3
2020-09-30,$14
2020-06-30,$18
2020-03-31,$-1
2019-12-31,$13
2019-09-30,$11
2019-06-30,$11
2019-03-31,$7
2018-12-31,$12
2018-09-30,$17
2018-06-30,$14
2018-03-31,$11
2017-12-31,$6
2017-09-30,$10
2017-06-30,$13
2017-03-31,$12
2016-12-31,$14
2016-09-30,$11
2016-06-30,$30
2016-03-31,$10
2015-12-31,$12
2015-09-30,$11
2015-06-30,$15
2015-03-31,$9
2014-12-31,$11
2014-09-30,$11
2014-06-30,$12
2014-03-31,$10
2013-12-31,$12
2013-09-30,$9
2013-06-30,$10
2013-03-31,$7
2012-12-31,$9
2012-09-30,$9
2012-06-30,$9
2012-03-31,$7
2011-12-31,$8
2011-09-30,$10
2011-06-30,$9
2011-03-31,$8
2010-12-31,$9
2010-09-30,$15
2010-06-30,$8
2010-03-31,$8
2009-12-31,$4
2009-09-30,$7
2009-06-30,$4
2009-03-31,$5
