Perion Network Quarterly Net Income (Millions of US $),Perion Network Quarterly Net Income (Millions of US $).1
2024-09-30,$2
2024-06-30,$-6
2024-03-31,$12
2023-12-31,$39
2023-09-30,$33
2023-06-30,$21
2023-03-31,$24
2022-12-31,$39
2022-09-30,$26
2022-06-30,$20
2022-03-31,$15
2021-12-31,$18
2021-09-30,$11
2021-06-30,$7
2021-03-31,$3
2020-12-31,$9
2020-09-30,$2
2020-06-30,$-2
2020-03-31,$1
2019-12-31,$6
2019-09-30,$3
2019-06-30,$3
2019-03-31,$1
2018-12-31,$5
2018-09-30,$2
2018-06-30,$1
2018-03-31,$0
2017-12-31,$-37
2017-09-30,$3
2017-06-30,$-36
2017-03-31,$-2
2016-12-31,$0
2016-09-30,$5
2016-06-30,$1
2016-03-31,$-6
2015-12-31,$-17
2015-09-30,$-71
2015-06-30,$8
2015-03-31,$11
2014-12-31,$-8
2014-09-30,$-10
2014-06-30,$18
2014-03-31,$14
2013-12-31,$-2
2013-09-30,$-2
2013-06-30,$1
2013-03-31,$3
2012-12-31,$1
2012-09-30,$2
2012-06-30,$1
2012-03-31,$0
2011-12-31,$0
2011-09-30,$0
2011-06-30,$2
2011-03-31,$3
2010-12-31,$2
2010-09-30,$2
2010-06-30,$2
2010-03-31,$2
2009-12-31,$2
2009-09-30,$2
2009-06-30,$2
2009-03-31,$1
