AvidXchange Holdings Price to Free Cash Flow Ratio Historical Data,AvidXchange Holdings Price to Free Cash Flow Ratio Historical Data,AvidXchange Holdings Price to Free Cash Flow Ratio Historical Data,AvidXchange Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.46,,25.32
2024-12-31,10.34,$0.33,30.95
2024-09-30,8.11,$0.29,27.9
2024-06-30,12.06,$0.20,60.12
2024-03-31,13.15,$0.13,103.46
2023-12-31,12.39,$0.03,403.58
2023-09-30,9.48,$-0.06,0.0
2023-06-30,10.38,$-0.08,0.0
2023-03-31,7.8,$-0.16,0.0
2022-12-31,9.94,$-0.16,0.0
2022-09-30,8.42,$-1.16,0.0
