Neuronetics Price to Free Cash Flow Ratio Historical Data,Neuronetics Price to Free Cash Flow Ratio Historical Data,Neuronetics Price to Free Cash Flow Ratio Historical Data,Neuronetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.94,,0.0
2024-09-30,0.76,$-0.75,0.0
2024-06-30,1.8,$-0.92,0.0
2024-03-31,4.76,$-1.07,0.0
2023-12-31,2.9,$-1.20,0.0
2023-09-30,1.35,$-1.37,0.0
2023-06-30,2.15,$-1.27,0.0
2023-03-31,2.91,$-1.32,0.0
2022-12-31,6.87,$-1.26,0.0
2022-09-30,3.18,$-1.37,0.0
2022-06-30,3.21,$-1.44,0.0
2022-03-31,3.03,$-1.30,0.0
2021-12-31,4.46,$-1.19,0.0
2021-09-30,6.56,$-1.05,0.0
2021-06-30,16.02,$-0.91,0.0
2021-03-31,12.37,$-1.19,0.0
2020-12-31,11.11,$-1.55,0.0
2020-09-30,4.86,$-1.82,0.0
2020-06-30,1.93,$-2.05,0.0
2020-03-31,1.89,$-1.90,0.0
2019-12-31,4.49,$-1.70,0.0
2019-09-30,8.31,$-2.65,0.0
2019-06-30,12.51,$53.44,0.23
2019-03-31,15.25,$-2.96,0.0
