Full Truck Alliance Price to Free Cash Flow Ratio Historical Data,Full Truck Alliance Price to Free Cash Flow Ratio Historical Data,Full Truck Alliance Price to Free Cash Flow Ratio Historical Data,Full Truck Alliance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.27,,45.93
2024-09-30,9.01,$0.29,31.19
2024-06-30,8.04,$0.29,27.83
2024-03-31,7.27,$0.29,25.16
2023-12-31,7.01,$0.29,24.26
2023-09-30,7.04,$-0.01,0.0
2023-06-30,6.22,$-0.01,0.0
2023-03-31,7.61,$-0.01,0.0
2022-12-31,8.0,$-0.01,0.0
2022-09-30,6.55,0,0.0
2022-06-30,9.06,0,0.0
