Moolec Science SA Price to Free Cash Flow Ratio Historical Data,Moolec Science SA Price to Free Cash Flow Ratio Historical Data,Moolec Science SA Price to Free Cash Flow Ratio Historical Data,Moolec Science SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.72,,0.0
2024-09-30,0.88,$-0.23,0.0
2024-06-30,1.1,$-0.25,0.0
2024-03-31,1.38,$-0.31,0.0
2023-12-31,2.46,$-0.35,0.0
2023-09-30,2.8,$-0.27,0.0
2023-06-30,3.68,$-0.22,0.0
2023-03-31,4.08,$-0.34,0.0
2022-12-31,12.1,$-0.27,0.0
2022-09-30,10.06,$-0.02,0.0
2022-06-30,9.99,$-0.25,0.0
2022-03-31,9.93,$-0.06,0.0
2021-12-31,9.86,$-0.20,0.0
