Gatos Silver Price to Free Cash Flow Ratio Historical Data,Gatos Silver Price to Free Cash Flow Ratio Historical Data,Gatos Silver Price to Free Cash Flow Ratio Historical Data,Gatos Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,13.82,,11.8
2024-09-30,15.08,$1.17,12.88
2024-06-30,10.44,$1.18,8.88
2024-03-31,8.39,$0.96,8.77
2023-12-31,6.54,$0.68,9.58
2023-09-30,5.18,$0.57,9.16
2023-06-30,3.78,$0.11,32.98
2023-03-31,6.53,$0.15,43.56
2022-12-31,4.09,$0.10,39.25
2022-06-30,2.87,$-0.20,0.0
2022-03-31,4.32,$-0.24,0.0
2021-12-31,10.38,$-0.34,0.0
2021-09-30,11.63,$-0.78,0.0
2021-06-30,17.49,$-0.55,0.0
