DBV Technologies S.A Price to Free Cash Flow Ratio Historical Data,DBV Technologies S.A Price to Free Cash Flow Ratio Historical Data,DBV Technologies S.A Price to Free Cash Flow Ratio Historical Data,DBV Technologies S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.28,,0.0
2024-09-30,3.5,$-5.69,0.0
2024-06-30,4.01,$-5.48,0.0
2024-03-31,7.49,$-4.98,0.0
2023-12-31,9.53,$-4.22,0.0
2023-09-30,13.6,$-5.36,0.0
2023-06-30,19.0,$-5.20,0.0
2023-03-31,16.9,$-4.61,0.0
2022-12-31,15.3,$-3.64,0.0
2022-09-30,17.7,$-3.48,0.0
2022-06-30,25.5,$-4.74,0.0
2022-03-31,15.9,$-6.71,0.0
2021-12-31,16.0,$-9.88,0.0
2021-09-30,49.0,$-11.45,0.0
2021-06-30,54.6,$-16.74,0.0
2021-03-31,53.3,$-18.88,0.0
2020-12-31,26.2,$-15.56,0.0
2020-09-30,17.3,$-12.24,0.0
2020-03-31,39.2,$-4.87,0.0
2019-12-31,107.0,0,0.0
2019-06-30,82.2,0,0.0
2018-12-31,64.2,0,0.0
2018-06-30,192.9,0,0.0
2017-12-31,246.0,0,0.0
2017-06-30,357.1,0,0.0
2016-12-31,351.3,0,0.0
