Vontier Price to Free Cash Flow Ratio Historical Data,Vontier Price to Free Cash Flow Ratio Historical Data,Vontier Price to Free Cash Flow Ratio Historical Data,Vontier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.89,,14.88
2024-12-31,36.47,$2.28,16.01
2024-09-30,33.74,$2.24,15.04
2024-06-30,38.2,$2.29,16.65
2024-03-31,45.36,$2.57,17.67
2023-12-31,34.55,$2.56,13.49
2023-09-30,30.92,$2.62,11.78
2023-06-30,32.21,$2.36,13.64
2023-03-31,27.34,$1.91,14.31
2022-12-31,19.33,$1.62,11.9
2022-09-30,16.71,$1.34,12.43
2022-06-30,22.96,$1.54,14.91
2022-03-31,25.34,$1.82,13.91
2021-12-31,30.64,$2.55,12.03
2021-09-30,33.47,$5.71,5.87
