GXO Logistics Price to Free Cash Flow Ratio Historical Data,GXO Logistics Price to Free Cash Flow Ratio Historical Data,GXO Logistics Price to Free Cash Flow Ratio Historical Data,GXO Logistics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.69,,19.42
2024-12-31,43.5,$2.10,20.76
2024-09-30,52.07,$2.30,22.64
2024-06-30,50.5,$2.98,16.95
2024-03-31,53.76,$2.75,19.58
2023-12-31,61.16,$2.53,24.2
2023-09-30,58.65,$2.47,23.73
2023-06-30,62.82,$1.26,49.87
2023-03-31,50.46,$1.82,27.75
2022-12-31,42.69,$2.04,20.92
2022-09-30,35.06,$2.02,17.39
2022-06-30,43.27,$2.31,18.7
