Vita Coco Price to Free Cash Flow Ratio Historical Data,Vita Coco Price to Free Cash Flow Ratio Historical Data,Vita Coco Price to Free Cash Flow Ratio Historical Data,Vita Coco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.57,,50.3
2024-12-31,36.91,$0.71,52.19
2024-09-30,28.31,$1.23,22.94
2024-06-30,27.85,$1.82,15.29
2024-03-31,24.43,$1.65,14.8
2023-12-31,25.65,$1.81,14.14
2023-09-30,26.04,$1.30,20.07
2023-06-30,26.87,$0.84,32.14
2023-03-31,19.62,$0.35,55.49
2022-12-31,13.82,$-0.21,0.0
2022-09-30,11.39,$-0.65,0.0
