Ballard Power Systems Price to Free Cash Flow Ratio Historical Data,Ballard Power Systems Price to Free Cash Flow Ratio Historical Data,Ballard Power Systems Price to Free Cash Flow Ratio Historical Data,Ballard Power Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2024-12-31,1.66,$-0.44,0.0
2024-09-30,1.8,$-0.43,0.0
2024-06-30,2.25,$-0.40,0.0
2024-03-31,2.78,$-0.42,0.0
2023-12-31,3.7,$-0.49,0.0
2023-09-30,3.67,$-0.52,0.0
2023-06-30,4.36,$-0.55,0.0
2023-03-31,5.57,$-0.57,0.0
2022-12-31,4.79,$-0.56,0.0
2022-09-30,6.12,$-0.56,0.0
2022-06-30,6.3,$-0.49,0.0
2022-03-31,11.64,$-0.40,0.0
2021-12-31,12.56,$-0.32,0.0
2021-09-30,14.05,$-0.23,0.0
2021-06-30,18.12,$-0.23,0.0
2021-03-31,24.34,$-0.23,0.0
2020-12-31,23.4,$-0.22,0.0
2020-09-30,15.1,$-0.19,0.0
2020-06-30,15.4,$-0.18,0.0
2020-03-31,7.61,$-0.12,0.0
2019-12-31,7.18,$-0.11,0.0
2019-09-30,4.89,$-0.15,0.0
2019-06-30,4.08,$-0.13,0.0
2019-03-31,3.01,$-0.22,0.0
2018-12-31,2.39,$-0.22,0.0
2018-09-30,4.3,$-0.18,0.0
2018-06-30,2.85,$-0.20,0.0
2018-03-31,3.55,$-0.09,0.0
2017-12-31,4.41,$-0.07,0.0
2017-09-30,4.68,$-0.01,0.0
2017-06-30,2.9,$0.03,114.62
2017-03-31,2.22,$0.01,0.0
2016-12-31,1.65,$-0.02,0.0
2016-09-30,2.21,$-0.15,0.0
2016-06-30,1.25,$-0.17,0.0
2016-03-31,1.4,$-0.20,0.0
2015-12-31,1.56,$-0.20,0.0
2015-09-30,1.2,$-0.19,0.0
2015-06-30,2.09,$-0.18,0.0
2015-03-31,2.1,$-0.15,0.0
2014-12-31,1.98,$-0.17,0.0
2014-09-30,3.23,$-0.11,0.0
2014-06-30,4.12,$-0.14,0.0
2014-03-31,4.4,$-0.16,0.0
2013-12-31,1.52,$-0.18,0.0
2013-09-30,1.76,$-0.18,0.0
2013-06-30,1.81,$-0.13,0.0
2013-03-31,1.03,$-0.23,0.0
2012-12-31,0.61,$-0.33,0.0
2012-09-30,0.72,$-0.27,0.0
2012-06-30,1.14,$-0.39,0.0
2012-03-31,1.43,$-0.42,0.0
2011-12-31,1.08,$-0.40,0.0
2011-09-30,1.21,$-0.43,0.0
2011-06-30,1.59,$-0.38,0.0
2011-03-31,2.33,$-0.37,0.0
2010-12-31,1.5,$-0.15,0.0
2010-09-30,1.67,$-0.13,0.0
2010-06-30,1.57,$-0.13,0.0
2010-03-31,2.67,$-0.19,0.0
2009-12-31,1.89,$-0.38,0.0
