DoubleVerify Holdings Price to Free Cash Flow Ratio Historical Data,DoubleVerify Holdings Price to Free Cash Flow Ratio Historical Data,DoubleVerify Holdings Price to Free Cash Flow Ratio Historical Data,DoubleVerify Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.47,,19.12
2024-12-31,19.21,$0.76,25.38
2024-09-30,16.84,$0.86,19.51
2024-06-30,19.47,$0.76,25.7
2024-03-31,35.16,$0.64,55.33
2023-12-31,36.78,$0.59,62.1
2023-09-30,27.95,$0.46,60.71
2023-06-30,38.92,$0.39,100.46
2023-03-31,30.15,$0.46,65.06
2022-12-31,21.96,$0.32,68.33
2022-09-30,27.35,$0.32,85.44
2022-06-30,22.67,$0.27,82.47
2022-03-31,25.17,$0.42,60.42
