Trilogy Metals Price to Free Cash Flow Ratio Historical Data,Trilogy Metals Price to Free Cash Flow Ratio Historical Data,Trilogy Metals Price to Free Cash Flow Ratio Historical Data,Trilogy Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,0.0
2024-11-30,1.23,$-0.01,0.0
2024-08-31,0.54,$-0.01,0.0
2024-05-31,0.5,$-0.02,0.0
2024-02-29,0.43,$-0.02,0.0
2023-11-30,0.43,$-0.02,0.0
2023-08-31,0.49,$-0.02,0.0
2023-05-31,0.49,$-0.02,0.0
2023-02-28,0.57,$-0.02,0.0
2022-11-30,0.59,$-0.03,0.0
2022-08-31,0.65,$-0.03,0.0
2022-05-31,0.99,$-0.04,0.0
2022-02-28,0.96,$-0.04,0.0
2021-11-30,1.7,$-0.04,0.0
2021-08-31,2.05,$-0.04,0.0
2021-05-31,2.79,$-0.03,0.0
2021-02-28,2.15,$-0.04,0.0
2020-11-30,1.93,$-0.06,0.0
2020-08-31,2.1,$-0.11,0.0
2020-05-31,1.88,$-0.17,0.0
2020-02-29,1.53,$-0.18,0.0
2019-11-30,1.8,$-0.18,0.0
2019-08-31,1.77,$-0.19,0.0
2019-05-31,2.68,$-0.18,0.0
2019-02-28,2.2,$-0.17,0.0
2018-11-30,2.22,$-0.18,0.0
2018-08-31,1.81,$-0.17,0.0
2018-05-31,1.31,$-0.17,0.0
2018-02-28,1.5,$-0.18,0.0
2017-11-30,0.81,$-0.15,0.0
2017-08-31,1.05,$-0.11,0.0
2017-05-31,0.66,$-0.09,0.0
2017-02-28,0.46,$-0.08,0.0
2016-11-30,0.56,$-0.08,0.0
2016-08-31,0.57,$-0.11,0.0
2016-05-31,0.52,$-0.10,0.0
2016-02-29,0.35,$-0.10,0.0
2015-11-30,0.34,$-0.11,0.0
2015-08-31,0.55,$-0.10,0.0
2015-05-31,0.62,$-0.11,0.0
2015-02-28,0.6,$-0.13,0.0
2014-11-30,0.6,$-0.15,0.0
2014-08-31,1.21,$-0.18,0.0
2014-05-31,0.97,$-0.25,0.0
2014-02-28,1.27,$-0.27,0.0
2013-11-30,2.05,$-0.30,0.0
2013-08-31,1.9,$-0.39,0.0
2013-05-31,1.74,$-0.48,0.0
2013-02-28,1.89,$-0.54,0.0
