VTEX Price to Free Cash Flow Ratio Historical Data,VTEX Price to Free Cash Flow Ratio Historical Data,VTEX Price to Free Cash Flow Ratio Historical Data,VTEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.94,,37.71
2024-12-31,5.89,$0.13,44.96
2024-09-30,7.44,$0.12,63.37
2024-06-30,7.26,$0.09,79.17
2024-03-31,8.17,$0.06,142.83
2023-12-31,6.88,$0.02,338.92
2023-09-30,5.01,$-0.02,0.0
2023-06-30,4.8,$-0.05,0.0
2023-03-31,3.84,$-0.10,0.0
2022-12-31,3.75,$-0.16,0.0
2022-09-30,3.7,$-0.29,0.0
2022-06-30,3.08,$-0.45,0.0
