Remitly Global Price to Free Cash Flow Ratio Historical Data,Remitly Global Price to Free Cash Flow Ratio Historical Data,Remitly Global Price to Free Cash Flow Ratio Historical Data,Remitly Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.58,,22.66
2024-12-31,22.57,$0.91,24.85
2024-09-30,13.39,$0.44,30.26
2024-06-30,12.12,$-0.11,0.0
2024-03-31,20.74,$-0.64,0.0
2023-12-31,19.42,$-0.35,0.0
2023-09-30,25.22,$-0.67,0.0
2023-06-30,18.82,$-1.15,0.0
2023-03-31,16.95,$-0.95,0.0
2022-12-31,11.45,$-0.69,0.0
2022-09-30,11.12,$-1.08,0.0
2022-06-30,7.66,$-0.24,0.0
