Sangamo Therapeutics Price to Free Cash Flow Ratio Historical Data,Sangamo Therapeutics Price to Free Cash Flow Ratio Historical Data,Sangamo Therapeutics Price to Free Cash Flow Ratio Historical Data,Sangamo Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.84,,0.0
2024-09-30,0.87,$-0.62,0.0
2024-06-30,0.36,$-0.96,0.0
2024-03-31,0.67,$-1.23,0.0
2023-12-31,0.54,$-1.41,0.0
2023-09-30,0.6,$-1.53,0.0
2023-06-30,1.3,$-1.58,0.0
2023-03-31,1.76,$-1.61,0.0
2022-12-31,3.14,$-1.58,0.0
2022-09-30,4.9,$-1.53,0.0
2022-06-30,4.14,$-1.65,0.0
2022-03-31,5.81,$-1.66,0.0
2021-12-31,7.5,$-1.77,0.0
2021-09-30,9.01,$-1.39,0.0
2021-06-30,11.97,$-0.76,0.0
2021-03-31,12.53,$0.81,15.38
2020-12-31,15.61,$1.15,13.52
2020-09-30,9.45,$0.87,10.81
2020-06-30,8.96,$0.32,27.95
2020-03-31,6.37,$-1.17,0.0
2019-12-31,8.37,$-1.47,0.0
2019-09-30,9.05,$-1.86,0.0
2019-06-30,10.77,$-1.91,0.0
2019-03-31,9.54,$-0.33,0.0
2018-12-31,11.48,$-0.07,0.0
2018-09-30,16.95,$0.40,42.25
2018-06-30,14.2,$0.54,26.52
2018-03-31,19.0,$0.05,417.58
2017-12-31,16.4,$0.10,172.45
2017-09-30,15.0,$0.13,115.74
2017-06-30,8.8,$0.15,57.93
2017-03-31,5.2,$-0.84,0.0
2016-12-31,3.05,$-0.94,0.0
2016-09-30,4.63,$-0.87,0.0
2016-06-30,5.79,$-0.83,0.0
2016-03-31,6.05,$-0.73,0.0
2015-12-31,9.13,$-0.48,0.0
2015-09-30,5.64,$-0.42,0.0
2015-06-30,11.09,$-0.30,0.0
2015-03-31,15.68,$-0.31,0.0
2014-12-31,15.21,$-0.08,0.0
2014-09-30,10.79,$-0.07,0.0
2014-06-30,15.27,$-0.07,0.0
2014-03-31,18.08,$-0.03,0.0
2013-12-31,13.89,$-0.36,0.0
2013-09-30,10.49,$-0.34,0.0
2013-06-30,7.81,$-0.36,0.0
2013-03-31,9.56,$-0.37,0.0
2012-12-31,6.01,$-0.17,0.0
2012-09-30,6.08,$-0.19,0.0
2012-06-30,5.52,$-0.21,0.0
2012-03-31,4.9,$-0.21,0.0
2011-12-31,2.84,$-0.52,0.0
2011-09-30,4.35,$-0.56,0.0
2011-06-30,5.89,$-0.57,0.0
2011-03-31,8.33,$-0.63,0.0
2010-12-31,6.64,$-0.55,0.0
2010-09-30,3.43,$-0.20,0.0
2010-06-30,3.71,$-0.18,0.0
2010-03-31,5.42,$-0.16,0.0
2009-12-31,5.92,$-0.15,0.0
