Intellicheck Mobilisa Price to Free Cash Flow Ratio Historical Data,Intellicheck Mobilisa Price to Free Cash Flow Ratio Historical Data,Intellicheck Mobilisa Price to Free Cash Flow Ratio Historical Data,Intellicheck Mobilisa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.55,,0.0
2024-09-30,2.17,$-0.17,0.0
2024-06-30,3.42,$-0.10,0.0
2024-03-31,3.48,$-0.06,0.0
2023-12-31,1.9,$-0.06,0.0
2023-09-30,2.25,$-0.16,0.0
2023-06-30,2.47,$-0.15,0.0
2023-03-31,2.5,$-0.05,0.0
2022-12-31,2.0,$-0.19,0.0
2022-09-30,2.52,$-0.08,0.0
2022-06-30,2.02,$0.00,0.0
2022-03-31,2.55,$-0.08,0.0
2021-12-31,4.62,$0.02,189.34
2021-09-30,8.19,$0.02,435.64
2021-06-30,8.37,$-0.05,0.0
2021-03-31,8.38,$-0.00,0.0
2020-12-31,11.41,$-0.00,0.0
2020-09-30,6.67,$-0.00,0.0
2020-06-30,7.55,$-0.03,0.0
2020-03-31,3.39,$-0.11,0.0
2019-12-31,7.49,$-0.12,0.0
2019-09-30,4.99,$-0.20,0.0
2019-06-30,5.79,$-0.24,0.0
2019-03-31,3.53,$-0.25,0.0
2018-12-31,2.14,$-0.28,0.0
2018-09-30,2.51,$-0.30,0.0
2018-06-30,2.3,$-0.24,0.0
2018-03-31,1.8,$-0.29,0.0
2017-12-31,2.56,$-0.30,0.0
2017-09-30,2.88,$-0.31,0.0
2017-06-30,3.89,$-0.35,0.0
2017-03-31,2.61,$-0.43,0.0
2016-12-31,2.75,$-0.43,0.0
2016-09-30,1.72,$-0.43,0.0
2016-06-30,1.38,$-0.50,0.0
2016-03-31,1.6,$-0.47,0.0
2015-12-31,1.1,$-0.47,0.0
2015-09-30,0.9,$-0.42,0.0
2015-06-30,1.38,$-0.43,0.0
2015-03-31,1.56,$-0.37,0.0
2014-12-31,2.95,$-0.52,0.0
2014-09-30,3.93,$-0.61,0.0
2014-06-30,5.84,$-0.45,0.0
2014-03-31,7.36,$-0.50,0.0
2013-12-31,4.0,$-0.44,0.0
2013-09-30,4.74,$-0.63,0.0
2013-06-30,2.4,$-0.34,0.0
2013-03-31,3.12,$-0.43,0.0
2012-12-31,5.2,$0.05,111.83
2012-09-30,13.36,$0.32,42.13
2012-06-30,13.76,$0.03,435.44
2012-03-31,13.6,$0.20,69.46
2011-12-31,7.12,$-0.04,0.0
2011-09-30,8.32,$0.10,81.57
2011-06-30,10.0,$-0.18,0.0
2011-03-31,7.68,$-0.16,0.0
2010-12-31,10.96,$-0.43,0.0
2010-09-30,8.56,$-0.63,0.0
2010-06-30,12.72,$0.07,189.0
2010-03-31,17.6,$0.03,592.59
2009-12-31,30.0,$0.05,635.59
