Galectin Therapeutics Price to Free Cash Flow Ratio Historical Data,Galectin Therapeutics Price to Free Cash Flow Ratio Historical Data,Galectin Therapeutics Price to Free Cash Flow Ratio Historical Data,Galectin Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,0.0
2024-09-30,2.75,$-0.54,0.0
2024-06-30,2.26,$-0.53,0.0
2024-03-31,2.39,$-0.56,0.0
2023-12-31,1.66,$-0.55,0.0
2023-09-30,1.92,$-0.60,0.0
2023-06-30,1.44,$-0.61,0.0
2023-03-31,2.1,$-0.57,0.0
2022-12-31,1.13,$-0.52,0.0
2022-09-30,1.63,$-0.52,0.0
2022-06-30,1.31,$-0.46,0.0
2022-03-31,1.61,$-0.44,0.0
2021-12-31,2.07,$-0.42,0.0
2021-09-30,3.88,$-0.39,0.0
2021-06-30,3.2,$-0.45,0.0
2021-03-31,2.17,$-0.40,0.0
2020-12-31,2.24,$-0.36,0.0
2020-09-30,2.67,$-0.35,0.0
2020-06-30,3.06,$-0.22,0.0
2020-03-31,1.96,$-0.21,0.0
2019-12-31,2.86,$-0.21,0.0
2019-09-30,3.67,$-0.18,0.0
2019-06-30,4.15,$-0.20,0.0
2019-03-31,5.11,$-0.24,0.0
2018-12-31,3.43,$-0.26,0.0
2018-09-30,6.01,$-0.31,0.0
2018-06-30,6.36,$-0.36,0.0
2018-03-31,4.74,$-0.43,0.0
2017-12-31,3.34,$-0.45,0.0
2017-09-30,2.14,$-0.51,0.0
2017-06-30,2.46,$-0.54,0.0
2017-03-31,2.3,$-0.55,0.0
2016-12-31,0.98,$-0.56,0.0
2016-09-30,1.13,$-0.58,0.0
2016-06-30,1.47,$-0.68,0.0
2016-03-31,1.43,$-0.64,0.0
2015-12-31,1.64,$-0.70,0.0
2015-09-30,2.34,$-0.67,0.0
2015-06-30,2.73,$-0.60,0.0
2015-03-31,3.35,$-0.58,0.0
2014-12-31,3.47,$-0.57,0.0
2014-09-30,5.03,$-0.52,0.0
2014-06-30,13.81,$-0.45,0.0
2014-03-31,15.31,$-0.47,0.0
2013-12-31,8.08,$-0.44,0.0
2013-09-30,9.97,$-0.45,0.0
2013-06-30,4.25,$-0.50,0.0
2013-03-31,3.59,$-0.51,0.0
2012-12-31,2.05,$-0.47,0.0
2012-09-30,2.23,$-0.47,0.0
2012-06-30,2.05,$-0.43,0.0
2012-03-31,4.04,$-0.43,0.0
2011-12-31,5.76,$-0.44,0.0
2011-09-30,5.16,$-0.38,0.0
2011-06-30,7.32,$-0.36,0.0
2011-03-31,6.24,$-0.33,0.0
2010-12-31,5.4,$-0.30,0.0
2010-09-30,4.74,$-0.35,0.0
2010-06-30,4.28,$-0.43,0.0
2010-03-31,2.64,$-0.47,0.0
2009-12-31,1.68,$-0.48,0.0
