MediaAlpha Price to Free Cash Flow Ratio Historical Data,MediaAlpha Price to Free Cash Flow Ratio Historical Data,MediaAlpha Price to Free Cash Flow Ratio Historical Data,MediaAlpha Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.79,,11.38
2024-12-31,11.29,$0.86,13.13
2024-09-30,18.11,$0.69,26.34
2024-06-30,13.17,$0.51,25.58
2024-03-31,20.37,$0.19,106.87
2023-12-31,11.15,$0.44,25.21
2023-09-30,8.26,$0.17,49.28
2023-06-30,10.31,$0.55,18.67
2023-03-31,14.98,$0.75,19.84
2022-12-31,9.95,$0.67,14.81
2022-09-30,8.75,$1.18,7.4
2022-06-30,9.85,$1.10,8.93
2022-03-31,16.55,$0.81,20.42
2021-12-31,15.44,$0.46,33.82
2021-09-30,18.68,$0.10,187.17
