Hyliion Holdings Price to Free Cash Flow Ratio Historical Data,Hyliion Holdings Price to Free Cash Flow Ratio Historical Data,Hyliion Holdings Price to Free Cash Flow Ratio Historical Data,Hyliion Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.64,,0.0
2024-12-31,2.61,$-0.39,0.0
2024-09-30,2.48,$-0.43,0.0
2024-06-30,1.62,$-0.53,0.0
2024-03-31,1.76,$-0.62,0.0
2023-12-31,0.81,$-0.69,0.0
2023-09-30,1.18,$-0.73,0.0
2023-06-30,1.67,$-0.73,0.0
2023-03-31,1.98,$-0.71,0.0
2022-12-31,2.34,$-0.68,0.0
2022-09-30,2.87,$-0.67,0.0
2022-06-30,3.22,$-0.66,0.0
2022-03-31,4.43,$-0.59,0.0
2021-12-31,6.2,$-0.48,0.0
2021-09-30,8.4,$-0.38,0.0
2021-06-30,11.65,$-0.28,0.0
2021-03-31,10.67,$-0.23,0.0
2020-12-31,16.48,$-0.21,0.0
2020-09-30,49.83,$-0.22,0.0
2020-06-30,27.44,$-0.19,0.0
2020-03-31,9.83,$-0.17,0.0
