Global-e Online Price to Free Cash Flow Ratio Historical Data,Global-e Online Price to Free Cash Flow Ratio Historical Data,Global-e Online Price to Free Cash Flow Ratio Historical Data,Global-e Online Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.84,,46.54
2024-09-30,38.44,$0.79,48.56
2024-06-30,36.27,$0.77,46.89
2024-03-31,36.35,$0.50,72.73
2023-12-31,39.63,$0.65,61.17
2023-09-30,39.74,$0.45,89.04
2023-06-30,40.94,$0.27,150.13
2023-03-31,32.23,$0.39,81.76
2022-12-31,20.64,$0.51,40.19
2022-09-30,26.76,$0.34,79.08
2022-06-30,20.17,$0.45,44.63
2022-03-31,33.78,$0.06,543.96
