Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,265.82,,25.89
2024-12-31,325.6,$10.27,31.71
2024-09-30,326.74,$8.78,37.2
2024-06-30,283.45,$6.19,45.82
2024-03-31,332.2,$6.42,51.76
2023-12-31,320.65,$7.48,42.88
2023-09-30,355.06,$7.65,46.42
2023-06-30,371.1,$5.24,70.83
2023-03-31,464.1,$4.26,108.89
2022-12-31,404.66,$2.75,147.35
2022-09-30,418.65,$5.05,82.98
2022-06-30,471.62,$12.06,39.12
2022-03-31,587.56,$15.20,38.65
2021-12-31,722.91,$17.74,40.76
2021-09-30,759.91,$22.06,34.44
2021-06-30,640.0,$19.44,32.93
2021-03-31,579.38,$17.55,33.02
2020-12-31,574.15,$15.80,36.34
2020-09-30,508.0,$12.16,41.78
2020-06-30,436.97,$10.68,40.9
2020-03-31,351.32,$12.63,27.81
2019-12-31,369.6,$11.91,31.03
2019-09-30,340.54,$9.12,37.35
2019-06-30,306.18,$8.09,37.85
2019-03-31,303.0,$5.50,55.09
2018-12-31,230.0,$5.29,43.46
2018-09-30,297.67,$5.03,59.15
2018-06-30,285.75,$3.98,71.78
2018-03-31,250.9,$3.39,73.93
2017-12-31,238.25,$-0.24,0.0
2017-09-30,228.01,$-0.00,0.0
2017-06-30,225.0,$0.14,1582.28
2017-03-31,199.8,$0.45,446.98
2016-12-31,183.15,$2.53,72.37
2016-09-30,162.52,$1.13,143.89
2016-06-30,141.99,$2.66,53.31
2016-03-31,135.03,$1.34,101.11
2015-12-31,137.68,$2.53,54.5
2015-09-30,132.79,$2.25,59.0
2015-06-30,146.5,$2.46,59.44
2015-03-31,135.0,$3.83,35.22
2014-12-31,120.51,$5.24,23.02
2014-09-30,115.55,$6.71,17.22
2014-06-30,123.45,$5.75,21.48
2014-03-31,127.95,$4.04,31.7
2013-12-31,123.71,$2.20,56.15
2013-09-30,118.0,$2.89,40.84
2013-06-30,113.0,$2.90,39.03
2013-03-31,122.25,$4.17,29.34
2012-12-31,104.08,$4.54,22.94
2012-09-30,108.61,$3.99,27.23
2012-06-30,100.33,$3.71,27.03
2012-03-31,103.42,$5.57,18.55
2011-12-31,95.31,$5.62,16.95
2011-09-30,90.1,$6.46,13.96
2011-06-30,117.87,$7.18,16.42
2011-03-31,118.57,$4.78,24.82
2010-12-31,104.57,$4.93,21.23
2010-09-30,91.05,$6.01,15.15
2010-06-30,87.25,$7.27,11.99
2010-03-31,103.14,$9.95,10.37
2009-12-31,97.86,$9.28,10.54
