GlycoMimetics Price to Free Cash Flow Ratio Historical Data,GlycoMimetics Price to Free Cash Flow Ratio Historical Data,GlycoMimetics Price to Free Cash Flow Ratio Historical Data,GlycoMimetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.27,,0.0
2024-12-31,0.25,$-0.48,0.0
2024-09-30,0.17,$-0.55,0.0
2024-06-30,0.28,$-0.56,0.0
2024-03-31,3.0,$-0.52,0.0
2023-12-31,2.36,$-0.55,0.0
2023-09-30,1.5,$-0.57,0.0
2023-06-30,1.74,$-0.60,0.0
2023-03-31,1.26,$-0.82,0.0
2022-12-31,3.03,$-0.89,0.0
2022-09-30,0.55,$-0.99,0.0
2022-06-30,0.6,$-1.15,0.0
2022-03-31,1.14,$-1.10,0.0
2021-12-31,1.44,$-1.12,0.0
2021-09-30,2.19,$-1.10,0.0
2021-06-30,2.32,$-0.99,0.0
2021-03-31,3.01,$-1.06,0.0
2020-12-31,3.76,$-0.86,0.0
2020-09-30,3.07,$-0.92,0.0
2020-06-30,3.76,$-1.02,0.0
2020-03-31,2.28,$-0.95,0.0
2019-12-31,5.29,$-1.21,0.0
2019-09-30,4.31,$-1.19,0.0
2019-06-30,11.92,$-1.11,0.0
2019-03-31,12.46,$-1.10,0.0
2018-12-31,9.47,$-1.06,0.0
2018-09-30,14.4,$-1.14,0.0
2018-06-30,16.13,$-1.00,0.0
2018-03-31,16.23,$-0.93,0.0
2017-12-31,16.79,$-1.02,0.0
2017-09-30,13.99,$-1.05,0.0
2017-06-30,11.16,$-1.17,0.0
2017-03-31,5.43,$-1.34,0.0
2016-12-31,6.1,$-1.43,0.0
2016-09-30,7.15,$-1.41,0.0
2016-06-30,7.27,$-0.53,0.0
2016-03-31,5.96,$-0.47,0.0
2015-12-31,5.72,$-0.45,0.0
2015-09-30,5.6,$-0.41,0.0
2015-06-30,7.95,$-1.31,0.0
2015-03-31,8.32,$-0.55,0.0
2014-12-31,7.2,$-0.24,0.0
