Cricut Price to Free Cash Flow Ratio Historical Data,Cricut Price to Free Cash Flow Ratio Historical Data,Cricut Price to Free Cash Flow Ratio Historical Data,Cricut Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.39,,4.71
2024-12-31,5.7,$1.14,4.98
2024-09-30,6.93,$1.08,6.4
2024-06-30,5.99,$0.91,6.57
2024-03-31,4.76,$1.04,4.57
2023-12-31,6.59,$1.20,5.48
2023-09-30,9.29,$1.30,7.13
2023-06-30,12.2,$1.07,11.41
2023-03-31,10.2,$0.75,13.53
2022-12-31,9.27,$0.38,24.37
2022-09-30,9.26,$-0.05,0.0
2022-06-30,6.14,$-0.35,0.0
2022-03-31,13.09,$-0.47,0.0
2021-12-31,22.09,$-0.64,0.0
