Cleanspark Price to Free Cash Flow Ratio Historical Data,Cleanspark Price to Free Cash Flow Ratio Historical Data,Cleanspark Price to Free Cash Flow Ratio Historical Data,Cleanspark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.75,,0.0
2024-12-31,9.21,$-5.37,0.0
2024-09-30,9.34,$-4.79,0.0
2024-06-30,15.95,$-4.20,0.0
2024-03-31,21.21,$-3.69,0.0
2023-12-31,11.03,$-3.31,0.0
2023-09-30,3.81,$-3.10,0.0
2023-06-30,4.29,$-4.82,0.0
2023-03-31,2.78,$-4.08,0.0
2022-12-31,2.04,$-2.88,0.0
2022-09-30,3.18,$-2.66,0.0
2022-06-30,3.92,$-2.65,0.0
2022-03-31,12.37,$-3.08,0.0
2021-12-31,9.52,$-5.36,0.0
2021-09-30,11.59,$-5.54,0.0
2021-06-30,16.64,$-2.77,0.0
2021-03-31,23.82,$-2.47,0.0
2020-12-31,29.05,$-1.14,0.0
