AxoGen Price to Free Cash Flow Ratio Historical Data,AxoGen Price to Free Cash Flow Ratio Historical Data,AxoGen Price to Free Cash Flow Ratio Historical Data,AxoGen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.04,,556.79
2024-12-31,16.48,$0.03,508.64
2024-09-30,14.02,$-0.19,0.0
2024-06-30,7.24,$-0.31,0.0
2024-03-31,8.07,$-0.49,0.0
2023-12-31,6.83,$-0.46,0.0
2023-09-30,5.0,$-0.54,0.0
2023-06-30,9.13,$-0.61,0.0
2023-03-31,9.45,$-0.75,0.0
2022-12-31,9.98,$-0.86,0.0
2022-09-30,11.92,$-0.95,0.0
2022-06-30,8.19,$-1.07,0.0
2022-03-31,7.94,$-1.04,0.0
2021-12-31,9.37,$-1.00,0.0
2021-09-30,15.8,$-0.79,0.0
2021-06-30,21.61,$-0.63,0.0
2021-03-31,20.26,$-0.80,0.0
2020-12-31,17.9,$-0.79,0.0
2020-09-30,11.63,$-0.89,0.0
2020-06-30,9.24,$-0.92,0.0
2020-03-31,10.4,$-0.71,0.0
2019-12-31,17.89,$-0.63,0.0
2019-09-30,12.48,$-0.67,0.0
2019-06-30,19.8,$-0.78,0.0
2019-03-31,21.06,$-0.71,0.0
2018-12-31,20.43,$-0.65,0.0
2018-09-30,36.85,$-0.54,0.0
2018-06-30,50.25,$-0.41,0.0
2018-03-31,36.5,$-0.37,0.0
2017-12-31,28.3,$-0.31,0.0
2017-09-30,19.35,$-0.32,0.0
2017-06-30,16.75,$-0.33,0.0
2017-03-31,10.45,$-0.35,0.0
2016-12-31,9.0,$-0.40,0.0
2016-09-30,9.03,$-0.52,0.0
2016-06-30,6.88,$-0.53,0.0
2016-03-31,5.36,$-0.57,0.0
2015-12-31,5.0,$-0.52,0.0
2015-09-30,4.12,$-0.48,0.0
2015-06-30,3.14,$-0.52,0.0
2015-03-31,3.5,$-0.54,0.0
2014-12-31,3.59,$-0.62,0.0
2014-09-30,2.44,$-0.70,0.0
2014-06-30,2.78,$-0.66,0.0
2014-03-31,3.05,$-0.74,0.0
2013-12-31,4.49,$-0.79,0.0
2013-09-30,4.44,$-0.87,0.0
2013-06-30,4.34,$-0.94,0.0
2013-03-31,3.61,$-0.80,0.0
2012-12-31,2.7,$-0.79,0.0
2012-09-30,2.7,$1.30,2.08
2012-06-30,3.0,$-0.21,0.0
2012-03-31,2.7,$-1.19,0.0
2011-12-31,2.7,$-1.92,0.0
2011-09-30,2.5,$-5.69,0.0
2011-06-30,3.0,$-6.31,0.0
2011-03-31,2.75,$-5.36,0.0
2010-12-31,3.49,$-4.71,0.0
2010-09-30,3.5,$0.89,3.94
2010-06-30,2.99,$3.18,0.94
2010-03-31,3.1,$3.30,0.94
2009-12-31,3.29,$3.58,0.92
