DoubleVerify Holdings PE Ratio Historical Data,DoubleVerify Holdings PE Ratio Historical Data,DoubleVerify Holdings PE Ratio Historical Data,DoubleVerify Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.47,,46.68
2024-12-31,19.21,$0.31,61.97
2024-09-30,16.84,$0.37,45.51
2024-06-30,19.47,$0.35,55.63
2024-03-31,35.16,$0.38,92.53
2023-12-31,36.78,$0.41,89.71
2023-09-30,27.95,$0.32,87.34
2023-06-30,38.92,$0.30,129.73
2023-03-31,30.15,$0.29,103.97
2022-12-31,21.96,$0.25,87.84
2022-09-30,27.35,$0.32,85.47
2022-06-30,22.67,$0.31,73.13
2022-03-31,25.17,$0.17,148.06
