New Found Gold PE Ratio Historical Data,New Found Gold PE Ratio Historical Data,New Found Gold PE Ratio Historical Data,New Found Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.73,,0.0
2024-09-30,2.53,$-0.22,0.0
2024-06-30,2.83,$-0.28,0.0
2024-03-31,3.7,$-0.30,0.0
2023-12-31,3.5,$-0.33,0.0
2023-09-30,4.17,$-0.35,0.0
2023-06-30,4.95,$-0.33,0.0
2023-03-31,5.0,$-0.38,0.0
2022-12-31,4.04,$-0.41,0.0
2022-09-30,3.53,$-0.49,0.0
