Tantech Holdings PE Ratio Historical Data,Tantech Holdings PE Ratio Historical Data,Tantech Holdings PE Ratio Historical Data,Tantech Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.56,,inf
2024-06-30,0.81,0.0,0.0
2023-12-31,1.19,0.0,0.0
2023-06-30,2.65,0.0,0.0
2022-12-31,2.15,0.0,0.0
2022-06-30,7.01,0.0,0.0
2021-12-31,110.33,0.0,0.0
2021-06-30,297.6,0.0,0.0
2020-12-31,331.2,0.0,0.0
2020-06-30,292.78,0.0,0.0
2019-12-31,434.4,0.0,0.0
2018-12-31,417.6,0.0,0.0
2017-12-31,619.2,0.0,0.0
