Aurora Innovation PE Ratio Historical Data,Aurora Innovation PE Ratio Historical Data,Aurora Innovation PE Ratio Historical Data,Aurora Innovation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.14,,0.0
2024-12-31,6.3,$-0.47,0.0
2024-09-30,5.92,$-0.49,0.0
2024-06-30,2.77,$-0.49,0.0
2024-03-31,2.82,$-0.55,0.0
2023-12-31,4.37,$-0.61,0.0
2023-09-30,2.35,$-0.73,0.0
2023-06-30,2.94,$-0.77,0.0
2023-03-31,1.39,$-1.61,0.0
2022-12-31,1.21,$-1.51,0.0
2022-09-30,2.21,$-1.54,0.0
2022-06-30,1.91,$-1.37,0.0
2022-03-31,5.59,$-0.35,0.0
