Matterport PE Ratio Historical Data,Matterport PE Ratio Historical Data,Matterport PE Ratio Historical Data,Matterport PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-27,5.38,,inf
2024-12-31,4.74,0.0,0.0
2024-09-30,4.5,0.0,0.0
2024-06-30,4.47,0.0,0.0
2024-03-31,2.26,0.0,0.0
2023-12-31,2.69,0.0,0.0
2023-09-30,2.17,0.0,0.0
2023-06-30,3.15,0.0,0.0
2023-03-31,2.73,0.0,0.0
2022-12-31,2.8,0.0,0.0
2022-09-30,3.79,0.0,0.0
2022-06-30,3.66,0.0,0.0
2022-03-31,8.12,0.0,0.0
2021-12-31,20.64,0.0,0.0
