NanoViricides PE Ratio Historical Data,NanoViricides PE Ratio Historical Data,NanoViricides PE Ratio Historical Data,NanoViricides PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.32,,0.0
2024-12-31,1.43,$-0.72,0.0
2024-09-30,1.5,$-0.76,0.0
2024-06-30,1.72,$-0.70,0.0
2024-03-31,1.16,$-0.82,0.0
2023-12-31,1.02,$-0.81,0.0
2023-09-30,1.34,$-0.78,0.0
2023-06-30,1.15,$-0.75,0.0
2023-03-31,1.17,$-0.59,0.0
2022-12-31,1.11,$-0.60,0.0
2022-09-30,1.73,$-0.62,0.0
2022-06-30,1.88,$-0.71,0.0
2022-03-31,2.09,$-0.74,0.0
2021-12-31,3.72,$-0.77,0.0
2021-09-30,4.64,$-0.82,0.0
2021-06-30,4.64,$-0.81,0.0
2021-03-31,4.72,$-0.63,0.0
2020-12-31,2.87,$-1.68,0.0
2020-09-30,3.84,$-1.96,0.0
2020-06-30,7.48,$-2.15,0.0
2020-03-31,5.74,$-2.75,0.0
2019-12-31,2.51,$-2.11,0.0
2019-09-30,2.05,$-2.21,0.0
2019-06-30,4.8,$-2.40,0.0
2019-03-31,5.4,$-2.20,0.0
2018-12-31,4.0,$-2.20,0.0
2018-09-30,7.2,$-2.40,0.0
2018-06-30,8.8,$-2.40,0.0
2018-03-31,16.45,$-2.00,0.0
2017-12-31,17.6,$-2.40,0.0
2017-09-30,22.8,$-2.20,0.0
2017-06-30,27.0,$-2.60,0.0
2017-03-31,22.4,$-3.20,0.0
2016-12-31,21.4,$-4.00,0.0
2016-09-30,33.8,$-4.40,0.0
2016-06-30,32.0,$-3.80,0.0
2016-03-31,43.8,$-3.60,0.0
2015-12-31,23.6,$-2.20,0.0
2015-09-30,23.8,$-2.00,0.0
2015-06-30,34.6,$-1.60,0.0
2015-03-31,45.0,$-3.40,0.0
2014-12-31,54.4,$-3.20,0.0
2014-09-30,60.0,$-3.00,0.0
2014-06-30,84.6,$-5.60,0.0
2014-03-31,64.0,$-4.40,0.0
2013-12-31,96.0,$-5.60,0.0
2013-09-30,103.8,$-5.70,0.0
2013-06-30,49.0,$-3.80,0.0
2013-03-31,44.1,$-3.50,0.0
2012-12-31,32.9,$-2.80,0.0
2012-09-30,46.2,$-2.80,0.0
2012-06-30,39.2,$-2.80,0.0
2012-03-31,49.7,$-2.80,0.0
2011-12-31,43.4,$-2.10,0.0
2011-09-30,67.9,$-1.40,0.0
2011-06-30,84.0,$-0.70,0.0
2011-03-31,87.5,0,0.0
2010-12-31,102.9,0,0.0
