Affirm Holdings PE Ratio Historical Data,Affirm Holdings PE Ratio Historical Data,Affirm Holdings PE Ratio Historical Data,Affirm Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.95,,0.0
2024-12-31,60.9,$-0.65,0.0
2024-09-30,40.82,$-1.42,0.0
2024-06-30,30.21,$-1.68,0.0
2024-03-31,37.26,$-2.23,0.0
2023-12-31,49.14,$-2.49,0.0
2023-09-30,21.27,$-3.05,0.0
2023-06-30,15.33,$-3.34,0.0
2023-03-31,11.27,$-3.30,0.0
2022-12-31,9.67,$-2.80,0.0
2022-09-30,18.76,$-2.27,0.0
2022-06-30,18.06,$-2.54,0.0
2022-03-31,46.28,$-2.37,0.0
2021-12-31,100.56,$-3.24,0.0
