Tango Therapeutics PE Ratio Historical Data,Tango Therapeutics PE Ratio Historical Data,Tango Therapeutics PE Ratio Historical Data,Tango Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.78,,0.0
2024-12-31,3.09,$-1.21,0.0
2024-09-30,7.7,$-1.18,0.0
2024-06-30,8.58,$-1.14,0.0
2024-03-31,7.94,$-1.13,0.0
2023-12-31,9.9,$-1.10,0.0
2023-09-30,11.26,$-1.11,0.0
2023-06-30,3.32,$-1.21,0.0
2023-03-31,3.95,$-1.26,0.0
2022-12-31,7.25,$-1.23,0.0
2022-09-30,3.62,$-1.15,0.0
2022-06-30,4.53,$-1.10,0.0
2022-03-31,7.58,$-0.82,0.0
2021-12-31,10.94,$-0.53,0.0
2021-09-30,12.93,$-0.28,0.0
2021-06-30,11.38,0,0.0
