SES AI PE Ratio Historical Data,SES AI PE Ratio Historical Data,SES AI PE Ratio Historical Data,SES AI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.53,,0.0
2024-12-31,2.19,$-0.31,0.0
2024-09-30,0.64,$-0.23,0.0
2024-06-30,1.25,$-0.18,0.0
2024-03-31,1.68,$-0.16,0.0
2023-12-31,1.83,$-0.16,0.0
2023-09-30,2.27,$-0.16,0.0
2023-06-30,2.44,$-0.20,0.0
2023-03-31,2.95,$-0.13,0.0
2022-12-31,3.15,$-0.20,0.0
2022-09-30,4.88,$-0.17,0.0
2022-06-30,3.93,$-0.09,0.0
2022-03-31,9.05,$-0.12,0.0
2021-12-31,9.95,0,0.0
