MediciNova PE Ratio Historical Data,MediciNova PE Ratio Historical Data,MediciNova PE Ratio Historical Data,MediciNova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.51,,0.0
2024-12-31,2.1,$-0.23,0.0
2024-09-30,2.1,$-0.21,0.0
2024-06-30,1.44,$-0.16,0.0
2024-03-31,1.45,$-0.17,0.0
2023-12-31,1.5,$-0.17,0.0
2023-09-30,2.09,$-0.19,0.0
2023-06-30,2.3,$-0.25,0.0
2023-03-31,2.16,$-0.27,0.0
2022-12-31,2.05,$-0.28,0.0
2022-09-30,2.17,$-0.22,0.0
2022-06-30,2.53,$-0.22,0.0
2022-03-31,2.67,$-0.23,0.0
2021-12-31,2.68,$-0.16,0.0
2021-09-30,3.79,$-0.23,0.0
2021-06-30,4.25,$-0.24,0.0
2021-03-31,5.05,$-0.25,0.0
2020-12-31,5.26,$-0.31,0.0
2020-09-30,5.24,$-0.24,0.0
2020-06-30,5.42,$-0.21,0.0
2020-03-31,3.72,$-0.20,0.0
2019-12-31,6.74,$-0.25,0.0
2019-09-30,7.96,$-0.25,0.0
2019-06-30,9.63,$-0.36,0.0
2019-03-31,8.28,$-0.35,0.0
2018-12-31,8.17,$-0.36,0.0
2018-09-30,12.49,$-0.40,0.0
2018-06-30,7.96,$-0.35,0.0
2018-03-31,10.22,$-0.35,0.0
2017-12-31,6.47,$-0.32,0.0
2017-09-30,6.37,$-0.32,0.0
2017-06-30,5.26,$-0.29,0.0
2017-03-31,5.99,$-0.31,0.0
2016-12-31,6.03,$-0.33,0.0
2016-09-30,7.49,$-0.38,0.0
2016-06-30,7.55,$-0.36,0.0
2016-03-31,7.34,$-0.35,0.0
2015-12-31,3.55,$-0.33,0.0
2015-09-30,2.81,$-0.24,0.0
2015-06-30,3.95,$-0.18,0.0
2015-03-31,3.5,$-0.09,0.0
2014-12-31,3.04,0,0.0
2014-09-30,2.99,0,0.0
2014-06-30,2.03,$-0.10,0.0
2014-03-31,2.05,$-0.24,0.0
2013-12-31,2.14,$-0.38,0.0
2013-09-30,2.57,$-0.52,0.0
2013-06-30,2.63,$-0.56,0.0
2013-03-31,2.68,$-0.56,0.0
2012-12-31,1.64,$-0.66,0.0
2012-09-30,1.82,$-0.74,0.0
2012-06-30,1.63,$-0.85,0.0
2012-03-31,2.9,$-1.02,0.0
2011-12-31,1.7,$-1.23,0.0
2011-09-30,2.15,$-1.41,0.0
2011-06-30,2.69,$-1.62,0.0
2011-03-31,2.58,$-1.66,0.0
2010-12-31,4.71,$-1.63,0.0
2010-09-30,5.23,$-1.71,0.0
2010-06-30,4.75,$-1.65,0.0
2010-03-31,7.51,$-1.69,0.0
2009-12-31,7.04,$-1.68,0.0
