DiaMedica Therapeutics PE Ratio Historical Data,DiaMedica Therapeutics PE Ratio Historical Data,DiaMedica Therapeutics PE Ratio Historical Data,DiaMedica Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.14,,0.0
2024-09-30,4.19,$-0.56,0.0
2024-06-30,2.95,$-0.53,0.0
2024-03-31,2.77,$-0.56,0.0
2023-12-31,2.84,$-0.62,0.0
2023-09-30,2.58,$-0.62,0.0
2023-06-30,4.32,$-0.62,0.0
2023-03-31,1.53,$-0.59,0.0
2022-12-31,1.58,$-0.52,0.0
2022-09-30,1.24,$-0.48,0.0
2022-06-30,2.02,$-0.54,0.0
2022-03-31,2.5,$-0.58,0.0
2021-12-31,3.73,$-0.64,0.0
2021-09-30,4.01,$-0.77,0.0
2021-06-30,4.45,$-0.78,0.0
2021-03-31,9.15,$-0.78,0.0
2020-12-31,10.14,$-0.78,0.0
2020-09-30,4.24,$-0.76,0.0
2020-06-30,6.93,$-0.77,0.0
2020-03-31,2.8,$-0.81,0.0
2019-12-31,4.85,$-0.89,0.0
2019-09-30,2.07,$-0.79,0.0
