Ur Energy Inc PE Ratio Historical Data,Ur Energy Inc PE Ratio Historical Data,Ur Energy Inc PE Ratio Historical Data,Ur Energy Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.95,,0.0
2024-09-30,1.19,$-0.13,0.0
2024-06-30,1.4,$-0.18,0.0
2024-03-31,1.6,$-0.19,0.0
2023-12-31,1.54,$-0.12,0.0
2023-09-30,1.54,$-0.12,0.0
2023-06-30,1.05,$-0.08,0.0
2023-03-31,1.06,$-0.05,0.0
2022-12-31,1.15,$-0.08,0.0
2022-09-30,1.09,$-0.06,0.0
2022-06-30,1.06,$-0.07,0.0
2022-03-31,1.6,$-0.11,0.0
2021-12-31,1.22,$-0.12,0.0
2021-09-30,1.72,$-0.15,0.0
2021-06-30,1.4,$-0.13,0.0
2021-03-31,1.1,$-0.10,0.0
2020-12-31,0.8,$-0.08,0.0
2020-09-30,0.48,$-0.04,0.0
2020-06-30,0.51,$-0.05,0.0
2020-03-31,0.39,$-0.05,0.0
2019-12-31,0.59,$-0.06,0.0
2019-09-30,0.61,$-0.08,0.0
2019-06-30,0.94,$-0.07,0.0
2019-03-31,0.82,$-0.04,0.0
2018-12-31,0.65,$0.03,21.67
2018-09-30,0.8,$0.02,40.0
2018-06-30,0.67,$0.02,33.51
2018-03-31,0.6,$0.01,60.0
2017-12-31,0.68,0,0.0
2017-09-30,0.58,$0.02,28.75
2017-06-30,0.63,$0.05,12.54
2017-03-31,0.66,$0.03,22.04
2016-12-31,0.53,$-0.02,0.0
2016-09-30,0.49,$-0.02,0.0
2016-06-30,0.59,$-0.03,0.0
2016-03-31,0.5,$-0.01,0.0
2015-12-31,0.65,$-0.01,0.0
2015-09-30,0.57,$-0.03,0.0
2015-06-30,0.79,$-0.06,0.0
2015-03-31,0.95,$-0.08,0.0
2014-12-31,0.87,$-0.08,0.0
2014-09-30,1.02,$-0.11,0.0
2014-06-30,1.14,$-0.11,0.0
2014-03-31,1.55,$-0.13,0.0
2013-12-31,1.38,$-0.14,0.0
2013-09-30,1.16,$-0.12,0.0
2013-06-30,1.34,$-0.13,0.0
2013-03-31,0.97,$-0.12,0.0
2012-12-31,0.85,$-0.11,0.0
2012-09-30,0.99,$-0.12,0.0
2012-06-30,0.73,$-0.11,0.0
2012-03-31,1.22,$-0.14,0.0
2011-12-31,0.86,$-0.16,0.0
2011-09-30,0.9,$-0.16,0.0
2011-06-30,1.6,$-0.19,0.0
2011-03-31,1.65,$-0.16,0.0
2010-12-31,2.99,$-0.17,0.0
2010-09-30,0.99,$-0.46,0.0
2010-06-30,0.78,$-0.44,0.0
2010-03-31,0.84,$-0.47,0.0
2009-12-31,0.77,$-0.45,0.0
