Accuray PE Ratio Historical Data,Accuray PE Ratio Historical Data,Accuray PE Ratio Historical Data,Accuray PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.85,,0.0
2024-12-31,1.98,$-0.05,0.0
2024-09-30,1.8,$-0.17,0.0
2024-06-30,1.82,$-0.16,0.0
2024-03-31,2.47,$-0.22,0.0
2023-12-31,2.83,$-0.15,0.0
2023-09-30,2.72,$-0.07,0.0
2023-06-30,3.87,$-0.10,0.0
2023-03-31,2.97,$-0.11,0.0
2022-12-31,2.09,$-0.13,0.0
2022-09-30,2.08,$-0.11,0.0
2022-06-30,1.96,$-0.06,0.0
2022-03-31,3.31,$-0.14,0.0
2021-12-31,4.77,$-0.13,0.0
2021-09-30,3.95,$-0.08,0.0
2021-06-30,4.52,$-0.07,0.0
2021-03-31,4.95,$0.04,123.75
2020-12-31,4.17,$0.07,59.57
2020-09-30,2.4,$0.14,17.14
2020-06-30,2.03,$0.03,67.67
2020-03-31,1.9,$0.02,95.0
2019-12-31,2.82,$-0.02,0.0
2019-09-30,2.77,$-0.19,0.0
2019-06-30,3.87,$-0.19,0.0
2019-03-31,4.77,$-0.18,0.0
2018-12-31,3.41,$-0.27,0.0
2018-09-30,4.5,$-0.28,0.0
2018-06-30,4.1,$-0.28,0.0
2018-03-31,5.0,$-0.33,0.0
2017-12-31,4.3,$-0.29,0.0
2017-09-30,4.0,$-0.34,0.0
2017-06-30,4.75,$-0.35,0.0
2017-03-31,4.75,$-0.38,0.0
2016-12-31,4.6,$-0.31,0.0
2016-09-30,6.37,$-0.28,0.0
2016-06-30,5.19,$-0.28,0.0
2016-03-31,5.78,$-0.26,0.0
2015-12-31,6.75,$-0.31,0.0
2015-09-30,5.0,$-0.36,0.0
2015-06-30,6.74,$-0.52,0.0
2015-03-31,9.3,$-0.58,0.0
2014-12-31,7.55,$-0.60,0.0
2014-09-30,7.26,$-0.54,0.0
2014-06-30,8.8,$-0.47,0.0
2014-03-31,9.6,$-0.59,0.0
2013-12-31,8.7,$-0.95,0.0
2013-09-30,7.38,$-1.28,0.0
2013-06-30,5.74,$-1.41,0.0
2013-03-31,4.64,$-1.44,0.0
2012-12-31,6.43,$-1.23,0.0
2012-09-30,7.08,$-0.98,0.0
2012-06-30,6.82,$-1.02,0.0
2012-03-31,7.06,$-1.14,0.0
2011-12-31,4.23,$-0.95,0.0
2011-09-30,4.01,$-0.73,0.0
2011-06-30,8.01,$-0.43,0.0
2011-03-31,9.02,$0.05,180.4
2010-12-31,6.75,$0.11,61.36
2010-09-30,6.22,$0.02,311.0
2010-06-30,6.63,$0.04,165.75
2010-03-31,6.07,$-0.02,0.0
2009-12-31,5.61,$-0.04,0.0
