Cabaletta Bio PE Ratio Historical Data,Cabaletta Bio PE Ratio Historical Data,Cabaletta Bio PE Ratio Historical Data,Cabaletta Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.75,,0.0
2024-09-30,4.72,$-2.15,0.0
2024-06-30,7.48,$-1.90,0.0
2024-03-31,17.06,$-1.71,0.0
2023-12-31,22.7,$-1.65,0.0
2023-09-30,15.22,$-1.71,0.0
2023-06-30,12.91,$-1.73,0.0
2023-03-31,8.27,$-1.81,0.0
2022-12-31,9.25,$-1.81,0.0
2022-09-30,0.65,$-1.78,0.0
2022-06-30,1.06,$-1.84,0.0
2022-03-31,2.03,$-1.84,0.0
2021-12-31,3.79,$-1.80,0.0
2021-09-30,12.16,$-1.71,0.0
2021-06-30,8.6,$-1.62,0.0
2021-03-31,11.1,$-1.52,0.0
2020-12-31,12.48,$-1.44,0.0
2020-09-30,10.84,$-1.37,0.0
