Certara PE Ratio Historical Data,Certara PE Ratio Historical Data,Certara PE Ratio Historical Data,Certara PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.6,,0.0
2024-12-31,10.65,$-0.08,0.0
2024-09-30,11.71,$-0.20,0.0
2024-06-30,13.85,$-0.50,0.0
2024-03-31,17.88,$-0.39,0.0
2023-12-31,17.59,$-0.35,0.0
2023-09-30,14.54,$-0.21,0.0
2023-06-30,18.21,$0.12,151.75
2023-03-31,24.11,$0.09,267.89
2022-12-31,16.07,$0.09,178.56
2022-09-30,13.28,$-0.03,0.0
2022-06-30,21.46,$-0.06,0.0
2022-03-31,21.48,$-0.08,0.0
2021-12-31,28.42,$-0.08,0.0
2021-09-30,33.1,$-0.42,0.0
