ACV Auctions PE Ratio Historical Data,ACV Auctions PE Ratio Historical Data,ACV Auctions PE Ratio Historical Data,ACV Auctions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.69,,0.0
2024-12-31,21.6,$-0.49,0.0
2024-09-30,20.33,$-0.47,0.0
2024-06-30,18.25,$-0.48,0.0
2024-03-31,18.77,$-0.48,0.0
2023-12-31,15.15,$-0.46,0.0
2023-09-30,15.18,$-0.48,0.0
2023-06-30,17.27,$-0.52,0.0
2023-03-31,12.91,$-0.58,0.0
2022-12-31,8.21,$-0.66,0.0
2022-09-30,7.19,$-0.67,0.0
2022-06-30,6.54,$-0.68,0.0
2022-03-31,14.81,$-0.58,0.0
2021-12-31,18.84,$-0.90,0.0
