Aveanna Healthcare Holdings PE Ratio Historical Data,Aveanna Healthcare Holdings PE Ratio Historical Data,Aveanna Healthcare Holdings PE Ratio Historical Data,Aveanna Healthcare Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.46,,0.0
2024-12-31,4.57,$-0.21,0.0
2024-09-30,5.2,$-0.34,0.0
2024-06-30,2.76,$-0.66,0.0
2024-03-31,2.49,$-0.60,0.0
2023-12-31,2.68,$-0.71,0.0
2023-09-30,1.19,$-1.86,0.0
2023-06-30,1.69,$-1.19,0.0
2023-03-31,1.04,$-3.88,0.0
2022-12-31,0.78,$-3.57,0.0
2022-09-30,1.5,$-2.97,0.0
2022-06-30,2.26,$-3.09,0.0
2022-03-31,3.41,$-0.52,0.0
