IGC Pharma PE Ratio Historical Data,IGC Pharma PE Ratio Historical Data,IGC Pharma PE Ratio Historical Data,IGC Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.31,,0.0
2024-12-31,0.34,$-0.11,0.0
2024-09-30,0.43,$-0.18,0.0
2024-06-30,0.43,$-0.21,0.0
2024-03-31,0.4,$-0.22,0.0
2023-12-31,0.28,$-0.26,0.0
2023-09-30,0.36,$-0.21,0.0
2023-06-30,0.31,$-0.21,0.0
2023-03-31,0.34,$-0.22,0.0
2022-12-31,0.32,$-0.27,0.0
2022-09-30,0.43,$-0.28,0.0
2022-06-30,0.53,$-0.32,0.0
2022-03-31,0.95,$-0.31,0.0
2021-12-31,0.98,$-0.25,0.0
2021-09-30,1.48,$-0.26,0.0
2021-06-30,1.64,$-0.21,0.0
2021-03-31,1.79,$-0.22,0.0
2020-12-31,1.56,$-0.23,0.0
2020-09-30,1.04,$-0.21,0.0
2020-06-30,0.6,$-0.20,0.0
2020-03-31,0.49,$-0.18,0.0
2019-12-31,0.63,$-0.16,0.0
2019-09-30,0.97,$-0.15,0.0
2019-06-30,1.64,$-0.14,0.0
2019-03-31,2.08,$-0.13,0.0
2018-09-30,6.45,$-0.09,0.0
2018-06-30,0.49,$-0.07,0.0
2018-03-31,0.56,$-0.07,0.0
2017-12-31,1.0,$-0.08,0.0
2017-09-30,0.36,$-0.06,0.0
2017-06-30,0.41,$-0.07,0.0
2017-03-31,0.47,$-0.07,0.0
2016-12-31,0.28,$-0.12,0.0
2016-09-30,0.46,$-0.14,0.0
2016-06-30,0.52,$-0.16,0.0
2016-03-31,0.52,$-0.17,0.0
2015-12-31,0.24,$-0.19,0.0
2015-09-30,0.19,$-0.22,0.0
2015-06-30,0.4,$-0.25,0.0
2015-03-31,0.44,$-0.34,0.0
2014-12-31,0.67,$-0.41,0.0
2014-09-30,0.7,$-0.40,0.0
2014-06-30,1.42,$-0.42,0.0
2014-03-31,0.78,$-0.39,0.0
2013-12-31,1.04,$-0.53,0.0
2013-09-30,1.05,$-0.39,0.0
2013-06-30,1.6,$-0.30,0.0
2013-03-31,2.79,$-0.31,0.0
2012-12-31,1.35,$-1.00,0.0
2012-09-30,1.7,$-2.00,0.0
2012-06-30,2.31,$-2.40,0.0
2012-03-31,4.9,$-2.70,0.0
2011-12-31,2.89,$-12.80,0.0
2011-09-30,1.75,$-13.10,0.0
2011-06-30,3.8,$-13.30,0.0
2011-03-31,5.4,$-13.30,0.0
2010-12-31,5.75,$-0.80,0.0
2010-09-30,11.8,$-4.20,0.0
2010-06-30,9.2,$-4.10,0.0
2010-03-31,11.7,$-4.20,0.0
2009-12-31,13.8,$-5.70,0.0
