Karooooo PE Ratio Historical Data,Karooooo PE Ratio Historical Data,Karooooo PE Ratio Historical Data,Karooooo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.4,,26.54
2024-11-30,44.8,$1.56,28.72
2024-08-31,38.29,$1.47,26.05
2024-05-31,28.74,$1.39,20.68
2024-02-29,24.82,$1.27,19.54
2023-11-30,25.0,$1.18,21.19
2023-08-31,24.19,$1.11,21.79
2023-05-31,22.42,$1.11,20.2
2023-02-28,25.4,$1.16,21.9
2022-11-30,25.49,$1.09,23.39
2022-08-31,24.99,$1.14,21.92
2022-05-31,24.62,$1.11,22.18
2022-02-28,30.78,$1.04,29.59
