Perception Capital III PE Ratio Historical Data,Perception Capital III PE Ratio Historical Data,Perception Capital III PE Ratio Historical Data,Perception Capital III PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,10.88,,inf
2024-06-30,10.86,0.0,0.0
2024-03-31,10.72,0.0,0.0
2023-12-31,10.58,0.0,0.0
2023-09-30,10.46,0.0,0.0
2023-06-30,10.39,0.0,0.0
2023-03-31,10.22,0.0,0.0
2022-12-31,10.03,0.0,0.0
2021-12-31,9.72,0.0,0.0
2021-09-30,9.65,0.0,0.0
