Noodles PE Ratio Historical Data,Noodles PE Ratio Historical Data,Noodles PE Ratio Historical Data,Noodles PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.08,,0.0
2024-12-31,0.58,$-0.80,0.0
2024-09-30,1.2,$-0.73,0.0
2024-06-30,1.58,$-0.56,0.0
2024-03-31,1.91,$-0.29,0.0
2023-12-31,3.15,$-0.22,0.0
2023-09-30,2.46,$-0.06,0.0
2023-06-30,3.38,$-0.06,0.0
2023-03-31,4.85,0,0.0
2022-12-31,5.49,$-0.07,0.0
2022-09-30,4.7,$-0.19,0.0
2022-06-30,4.7,$-0.11,0.0
2022-03-31,5.97,$-0.02,0.0
2021-12-31,9.07,$0.08,113.38
2021-09-30,11.8,$0.09,131.11
2021-06-30,12.48,$-0.01,0.0
2021-03-31,10.35,$-0.43,0.0
2020-12-31,7.9,$-0.52,0.0
2020-09-30,6.87,$-0.46,0.0
2020-06-30,6.05,$-0.37,0.0
2020-03-31,4.71,$-0.06,0.0
2019-12-31,5.54,$0.03,184.67
2019-09-30,5.66,$0.06,94.33
2019-06-30,7.88,$-0.01,0.0
2019-03-31,6.8,$-0.16,0.0
2018-12-31,6.99,$-0.21,0.0
2018-09-30,12.1,$-0.22,0.0
2018-06-30,12.3,$-0.44,0.0
2018-03-31,7.55,$-0.52,0.0
2017-12-31,5.25,$-1.42,0.0
2017-09-30,4.4,$-3.04,0.0
2017-06-30,3.9,$-3.19,0.0
2017-03-31,5.75,$-3.48,0.0
2016-12-31,4.1,$-2.58,0.0
2016-09-30,4.76,$-1.10,0.0
2016-06-30,9.78,$-1.10,0.0
2016-03-31,11.86,$-0.49,0.0
2015-12-31,9.69,$-0.49,0.0
2015-09-30,14.16,$-0.23,0.0
2015-06-30,14.6,$0.22,66.36
2015-03-31,17.44,$0.23,75.83
2014-12-31,26.35,$0.37,71.22
2014-09-30,19.19,$0.34,56.44
2014-06-30,34.39,$0.35,98.26
2014-03-31,39.47,$0.24,164.46
