Vaxcyte PE Ratio Historical Data,Vaxcyte PE Ratio Historical Data,Vaxcyte PE Ratio Historical Data,Vaxcyte PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.46,,0.0
2024-12-31,81.86,$-3.80,0.0
2024-09-30,114.27,$-4.60,0.0
2024-06-30,75.51,$-4.68,0.0
2024-03-31,68.31,$-4.28,0.0
2023-12-31,62.8,$-4.13,0.0
2023-09-30,50.98,$-3.34,0.0
2023-06-30,49.94,$-3.36,0.0
2023-03-31,37.48,$-3.46,0.0
2022-12-31,47.95,$-3.44,0.0
2022-09-30,24.0,$-2.95,0.0
2022-06-30,21.76,$-2.53,0.0
2022-03-31,24.15,$-2.19,0.0
2021-12-31,23.79,$-1.92,0.0
2021-09-30,25.37,$-1.79,0.0
2021-06-30,22.51,$-1.69,0.0
2021-03-31,19.75,$-2.95,0.0
