Fury Gold Mines PE Ratio Historical Data,Fury Gold Mines PE Ratio Historical Data,Fury Gold Mines PE Ratio Historical Data,Fury Gold Mines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.41,,0.0
2024-09-30,0.44,$-0.06,0.0
2024-06-30,0.39,$-0.08,0.0
2024-03-31,0.42,$-0.08,0.0
2023-12-31,0.51,$-0.10,0.0
2023-09-30,0.34,$-0.10,0.0
2023-06-30,0.42,$-0.13,0.0
2023-03-31,0.54,$-0.14,0.0
2022-12-31,0.43,$0.16,2.67
2022-09-30,0.4,$0.18,2.22
2022-06-30,0.53,$0.20,2.65
2022-03-31,0.68,$0.20,3.39
2021-12-31,0.64,$-0.11,0.0
2021-09-30,0.62,$-0.15,0.0
2021-06-30,1.2,$-0.14,0.0
2021-03-31,1.24,$-0.12,0.0
2020-12-31,1.44,$-0.12,0.0
2020-09-30,2.92,$-0.11,0.0
2020-06-30,2.74,$-0.12,0.0
2020-03-31,1.39,$-0.16,0.0
2019-12-31,2.13,$-0.16,0.0
2019-09-30,1.84,$-0.16,0.0
2019-06-30,2.53,$-0.21,0.0
2019-03-31,2.15,$-0.21,0.0
2018-12-31,1.35,$-0.22,0.0
2018-09-30,1.58,$-0.19,0.0
2018-06-30,1.61,$-0.07,0.0
