Purple Biotech PE Ratio Historical Data,Purple Biotech PE Ratio Historical Data,Purple Biotech PE Ratio Historical Data,Purple Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.76,,0.0
2024-12-31,4.69,$-4.99,0.0
2024-09-30,5.55,$-8.79,0.0
2024-06-30,8.14,$-13.00,0.0
2024-03-31,13.4,$-16.20,0.0
2023-12-31,15.6,$-18.40,0.0
2023-09-30,23.8,$-21.20,0.0
2023-06-30,27.9,$-22.00,0.0
2023-03-31,35.8,$-21.00,0.0
2022-12-31,27.6,$-24.20,0.0
2022-09-30,40.6,$-17.60,0.0
2022-06-30,47.8,$-12.20,0.0
2022-03-31,78.6,$-8.20,0.0
2021-12-31,77.8,0,0.0
2021-09-30,91.6,0,0.0
2021-06-30,97.6,0,0.0
2021-03-31,82.6,0,0.0
2020-12-31,76.2,0,0.0
2020-06-30,222.0,0,0.0
2019-12-31,155.92,0,0.0
2019-06-30,188.0,0,0.0
2018-12-31,132.0,0,0.0
2018-06-30,528.0,0,0.0
2017-12-31,456.0,0,0.0
