Americas Gold And Silver PE Ratio Historical Data,Americas Gold And Silver PE Ratio Historical Data,Americas Gold And Silver PE Ratio Historical Data,Americas Gold And Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.59,,0.0
2024-09-30,0.31,$-0.18,0.0
2024-06-30,0.24,$-0.17,0.0
2024-03-31,0.22,$-0.18,0.0
2023-12-31,0.25,$-0.16,0.0
2023-09-30,0.36,$-0.18,0.0
2023-06-30,0.35,$-0.26,0.0
2023-03-31,0.48,$-0.27,0.0
2022-12-31,0.57,$-0.23,0.0
2022-09-30,0.41,$-0.35,0.0
2022-06-30,0.69,$-0.36,0.0
2022-03-31,1.08,$-0.45,0.0
2021-12-31,0.81,$-1.16,0.0
2021-09-30,0.8,$-1.05,0.0
2021-06-30,1.52,$-0.97,0.0
2021-03-31,2.25,$-0.93,0.0
2020-12-31,3.23,$-0.24,0.0
2020-09-30,2.64,$-0.34,0.0
2020-06-30,2.64,$-0.40,0.0
2020-03-31,1.54,$-0.42,0.0
2019-12-31,3.17,$-0.45,0.0
2019-09-30,2.52,$-0.44,0.0
2019-06-30,2.34,$-0.46,0.0
2019-03-31,1.65,$-0.32,0.0
2018-12-31,1.65,$-0.25,0.0
2018-09-30,2.36,$-0.13,0.0
2018-06-30,3.11,$-0.07,0.0
2018-03-31,3.3,$-0.08,0.0
2017-12-31,3.62,$-0.10,0.0
